session_id,stock_id,open_price,close_price,high_price,low_price,volume_detail,ceiling_price,floor_price,buy_volume,sell_volume,net_volume,matched_value,adjust_price,change_percent,outstanding_share,name,code,stock_space,join_date,leave_date,init_price,category,year,month,day_of_month,volume_session
4817,3187,8.3,8.3,8.3,8.3,0,0.0,0.0,0,0,0,0.0,8.3,0.0,0,CÔNG TY CỔ PHẦN DU LỊCH HƯƠNG GIANG,HGT,UPCOM,2020-10-15,,0.0,Dịch vụ,2023,5,17,596787000000.0
4816,3187,8.3,8.3,8.3,8.3,0,0.0,0.0,0,0,0,0.0,8.3,0.0,0,CÔNG TY CỔ PHẦN DU LỊCH HƯƠNG GIANG,HGT,UPCOM,2020-10-15,,0.0,Dịch vụ,2023,5,18,452755000000.0
4815,3187,8.3,8.3,8.3,8.3,0,0.0,0.0,0,0,0,0.0,8.3,0.0,0,CÔNG TY CỔ PHẦN DU LỊCH HƯƠNG GIANG,HGT,UPCOM,2020-10-15,,0.0,Dịch vụ,2023,5,19,610612000000.0
4814,3187,8.3,8.3,8.3,8.3,180000,0.0,0.0,0,0,0,1494000000.0,8.3,0.0,0,CÔNG TY CỔ PHẦN DU LỊCH HƯƠNG GIANG,HGT,UPCOM,2020-10-15,,0.0,Dịch vụ,2023,5,22,541384000000.0
4813,3187,8.3,8.3,8.3,8.3,0,0.0,0.0,0,0,0,0.0,8.3,0.0,0,CÔNG TY CỔ PHẦN DU LỊCH HƯƠNG GIANG,HGT,UPCOM,2020-10-15,,0.0,Dịch vụ,2023,5,23,589042000000.0
4812,3187,8.3,8.3,8.3,8.3,0,0.0,0.0,0,0,0,0.0,8.3,0.0,0,CÔNG TY CỔ PHẦN DU LỊCH HƯƠNG GIANG,HGT,UPCOM,2020-10-15,,0.0,Dịch vụ,2023,5,24,417134000000.0
4811,3187,8.3,8.3,8.3,8.3,0,0.0,0.0,0,0,0,0.0,8.3,0.0,0,CÔNG TY CỔ PHẦN DU LỊCH HƯƠNG GIANG,HGT,UPCOM,2020-10-15,,0.0,Dịch vụ,2023,5,25,457573000000.0
4810,3187,8.3,8.3,8.3,8.3,180000,0.0,0.0,0,0,0,1494000000.0,8.3,0.0,0,CÔNG TY CỔ PHẦN DU LỊCH HƯƠNG GIANG,HGT,UPCOM,2020-10-15,,0.0,Dịch vụ,2023,5,26,867663000000.0
4809,3187,8.3,8.3,8.3,8.3,0,0.0,0.0,0,0,0,0.0,8.3,0.0,0,CÔNG TY CỔ PHẦN DU LỊCH HƯƠNG GIANG,HGT,UPCOM,2020-10-15,,0.0,Dịch vụ,2023,5,29,598726000000.0
4808,3187,8.3,8.3,8.3,8.3,0,0.0,0.0,0,0,0,0.0,8.3,0.0,0,CÔNG TY CỔ PHẦN DU LỊCH HƯƠNG GIANG,HGT,UPCOM,2020-10-15,,0.0,Dịch vụ,2023,5,30,797759000000.0
4807,3187,8.3,8.3,8.3,8.3,0,0.0,0.0,0,0,0,0.0,8.3,0.0,0,CÔNG TY CỔ PHẦN DU LỊCH HƯƠNG GIANG,HGT,UPCOM,2020-10-15,,0.0,Dịch vụ,2023,5,31,860345000000.0
4806,3187,8.3,8.3,8.3,8.3,0,0.0,0.0,0,0,0,0.0,8.3,0.0,0,CÔNG TY CỔ PHẦN DU LỊCH HƯƠNG GIANG,HGT,UPCOM,2020-10-15,,0.0,Dịch vụ,2023,6,1,784243000000.0
4805,3187,8.3,8.3,8.3,8.3,0,0.0,0.0,0,0,0,0.0,8.3,0.0,0,CÔNG TY CỔ PHẦN DU LỊCH HƯƠNG GIANG,HGT,UPCOM,2020-10-15,,0.0,Dịch vụ,2023,6,2,911677000000.0
4804,3187,8.3,8.3,8.3,8.3,0,0.0,0.0,0,0,0,0.0,8.3,0.0,0,CÔNG TY CỔ PHẦN DU LỊCH HƯƠNG GIANG,HGT,UPCOM,2020-10-15,,0.0,Dịch vụ,2023,6,5,850691000000.0
4803,3187,8.3,8.3,8.3,8.3,0,0.0,0.0,0,0,0,0.0,8.3,0.0,0,CÔNG TY CỔ PHẦN DU LỊCH HƯƠNG GIANG,HGT,UPCOM,2020-10-15,,0.0,Dịch vụ,2023,6,6,735226000000.0
4802,3187,8.3,8.3,8.3,8.3,0,0.0,0.0,0,0,0,0.0,8.3,0.0,0,CÔNG TY CỔ PHẦN DU LỊCH HƯƠNG GIANG,HGT,UPCOM,2020-10-15,,0.0,Dịch vụ,2023,6,7,779549000000.0
4801,3187,8.3,8.3,8.3,8.3,0,0.0,0.0,0,0,0,0.0,8.3,0.0,0,CÔNG TY CỔ PHẦN DU LỊCH HƯƠNG GIANG,HGT,UPCOM,2020-10-15,,0.0,Dịch vụ,2023,6,8,972083000000.0
4800,3187,8.3,8.3,8.3,8.3,0,0.0,0.0,0,0,0,0.0,8.3,0.0,0,CÔNG TY CỔ PHẦN DU LỊCH HƯƠNG GIANG,HGT,UPCOM,2020-10-15,,0.0,Dịch vụ,2023,6,9,784155000000.0
4799,3187,8.3,8.3,8.3,8.3,0,0.0,0.0,0,0,0,0.0,8.3,0.0,0,CÔNG TY CỔ PHẦN DU LỊCH HƯƠNG GIANG,HGT,UPCOM,2020-10-15,,0.0,Dịch vụ,2023,6,12,637523000000.0
4798,3187,8.3,8.3,8.3,8.3,0,0.0,0.0,0,0,0,0.0,8.3,0.0,0,CÔNG TY CỔ PHẦN DU LỊCH HƯƠNG GIANG,HGT,UPCOM,2020-10-15,,0.0,Dịch vụ,2023,6,14,763309000000.0
4797,3187,8.3,8.3,8.3,8.3,0,0.0,0.0,0,0,0,0.0,8.3,0.0,0,CÔNG TY CỔ PHẦN DU LỊCH HƯƠNG GIANG,HGT,UPCOM,2020-10-15,,0.0,Dịch vụ,2023,6,15,619574000000.0
4796,3187,8.3,8.3,8.3,8.3,0,0.0,0.0,0,0,0,0.0,8.3,0.0,0,CÔNG TY CỔ PHẦN DU LỊCH HƯƠNG GIANG,HGT,UPCOM,2020-10-15,,0.0,Dịch vụ,2023,6,16,897713000000.0
4795,3187,8.3,8.3,8.3,8.3,0,0.0,0.0,0,0,0,0.0,8.3,0.0,0,CÔNG TY CỔ PHẦN DU LỊCH HƯƠNG GIANG,HGT,UPCOM,2020-10-15,,0.0,Dịch vụ,2023,6,19,554708000000.0
4794,3187,8.3,8.3,8.3,8.3,0,0.0,0.0,0,0,0,0.0,8.3,0.0,0,CÔNG TY CỔ PHẦN DU LỊCH HƯƠNG GIANG,HGT,UPCOM,2020-10-15,,0.0,Dịch vụ,2023,6,20,557490000000.0
4793,3187,8.3,8.3,8.3,8.3,0,0.0,0.0,0,0,0,0.0,8.3,0.0,0,CÔNG TY CỔ PHẦN DU LỊCH HƯƠNG GIANG,HGT,UPCOM,2020-10-15,,0.0,Dịch vụ,2023,6,21,817903000000.0
4792,3187,8.3,8.3,8.3,8.3,0,0.0,0.0,0,0,0,0.0,8.3,0.0,0,CÔNG TY CỔ PHẦN DU LỊCH HƯƠNG GIANG,HGT,UPCOM,2020-10-15,,0.0,Dịch vụ,2023,6,22,833329000000.0
4791,3187,8.3,8.3,8.3,8.3,0,0.0,0.0,0,0,0,0.0,8.3,0.0,0,CÔNG TY CỔ PHẦN DU LỊCH HƯƠNG GIANG,HGT,UPCOM,2020-10-15,,0.0,Dịch vụ,2023,6,23,847219000000.0
4790,3187,8.3,8.3,8.3,8.3,0,0.0,0.0,0,0,0,0.0,8.3,0.0,0,CÔNG TY CỔ PHẦN DU LỊCH HƯƠNG GIANG,HGT,UPCOM,2020-10-15,,0.0,Dịch vụ,2023,6,26,860095000000.0
4789,3187,8.3,8.3,8.3,8.3,0,0.0,0.0,0,0,0,0.0,8.3,0.0,0,CÔNG TY CỔ PHẦN DU LỊCH HƯƠNG GIANG,HGT,UPCOM,2020-10-15,,0.0,Dịch vụ,2023,6,27,567850000000.0
4788,3187,8.3,8.3,8.3,8.3,0,0.0,0.0,0,0,0,0.0,8.3,0.0,0,CÔNG TY CỔ PHẦN DU LỊCH HƯƠNG GIANG,HGT,UPCOM,2020-10-15,,0.0,Dịch vụ,2023,6,28,659102000000.0
4787,3187,8.3,8.3,8.3,8.3,0,0.0,0.0,0,0,0,0.0,8.3,0.0,0,CÔNG TY CỔ PHẦN DU LỊCH HƯƠNG GIANG,HGT,UPCOM,2020-10-15,,0.0,Dịch vụ,2023,6,29,666695000000.0
4786,3187,8.3,8.3,8.3,8.3,0,0.0,0.0,0,0,0,0.0,8.3,0.0,0,CÔNG TY CỔ PHẦN DU LỊCH HƯƠNG GIANG,HGT,UPCOM,2020-10-15,,0.0,Dịch vụ,2023,6,30,543269000000.0
4785,3187,8.3,8.3,8.3,8.3,0,0.0,0.0,0,0,0,0.0,8.3,0.0,0,CÔNG TY CỔ PHẦN DU LỊCH HƯƠNG GIANG,HGT,UPCOM,2020-10-15,,0.0,Dịch vụ,2023,7,3,477651000000.0
4784,3187,8.3,8.3,8.3,8.3,0,0.0,0.0,0,0,0,0.0,8.3,0.0,0,CÔNG TY CỔ PHẦN DU LỊCH HƯƠNG GIANG,HGT,UPCOM,2020-10-15,,0.0,Dịch vụ,2023,7,4,638481000000.0
4783,3187,8.3,8.3,8.3,8.3,0,0.0,0.0,0,0,0,0.0,8.3,0.0,0,CÔNG TY CỔ PHẦN DU LỊCH HƯƠNG GIANG,HGT,UPCOM,2020-10-15,,0.0,Dịch vụ,2023,7,5,701030000000.0
4782,3187,8.3,8.3,8.3,8.3,0,0.0,0.0,0,0,0,0.0,8.3,0.0,0,CÔNG TY CỔ PHẦN DU LỊCH HƯƠNG GIANG,HGT,UPCOM,2020-10-15,,0.0,Dịch vụ,2023,7,6,637903000000.0
