session_id,stock_id,open_price,close_price,high_price,low_price,volume_detail,ceiling_price,floor_price,buy_volume,sell_volume,net_volume,matched_value,adjust_price,change_percent,outstanding_share,name,code,stock_space,join_date,leave_date,init_price,category,year,month,day_of_month,volume_session
4817,3297,0.6,0.6,0.6,0.6,0,0.0,0.0,0,0,0,0.0,0.6,0.0,0,Công ty Cổ phần Phát triển hạ tầng và Bất động sản Thái Bình Dương ,PPI,UPCOM,2019-05-27,,0.0,Bất động sản và Xây dựng,2023,5,17,596787000000.0
4816,3297,0.6,0.6,0.6,0.6,0,0.0,0.0,0,0,0,0.0,0.6,0.0,0,Công ty Cổ phần Phát triển hạ tầng và Bất động sản Thái Bình Dương ,PPI,UPCOM,2019-05-27,,0.0,Bất động sản và Xây dựng,2023,5,18,452755000000.0
4815,3297,0.6,0.6,0.6,0.5,793438,0.0,0.0,0,0,0,416282000.0,0.6,0.0,0,Công ty Cổ phần Phát triển hạ tầng và Bất động sản Thái Bình Dương ,PPI,UPCOM,2019-05-27,,0.0,Bất động sản và Xây dựng,2023,5,19,610612000000.0
4814,3297,0.5,0.5,0.5,0.5,0,0.0,0.0,0,0,0,0.0,0.5,0.0,0,Công ty Cổ phần Phát triển hạ tầng và Bất động sản Thái Bình Dương ,PPI,UPCOM,2019-05-27,,0.0,Bất động sản và Xây dựng,2023,5,22,541384000000.0
4813,3297,0.5,0.5,0.5,0.5,0,0.0,0.0,0,0,0,0.0,0.5,0.0,0,Công ty Cổ phần Phát triển hạ tầng và Bất động sản Thái Bình Dương ,PPI,UPCOM,2019-05-27,,0.0,Bất động sản và Xây dựng,2023,5,23,589042000000.0
4812,3297,0.5,0.5,0.5,0.5,0,0.0,0.0,0,0,0,0.0,0.5,0.0,0,Công ty Cổ phần Phát triển hạ tầng và Bất động sản Thái Bình Dương ,PPI,UPCOM,2019-05-27,,0.0,Bất động sản và Xây dựng,2023,5,24,417134000000.0
4811,3297,0.5,0.5,0.5,0.5,0,0.0,0.0,0,0,0,0.0,0.5,0.0,0,Công ty Cổ phần Phát triển hạ tầng và Bất động sản Thái Bình Dương ,PPI,UPCOM,2019-05-27,,0.0,Bất động sản và Xây dựng,2023,5,25,457573000000.0
4810,3297,0.6,0.6,0.6,0.5,640700,0.0,0.0,0,0,0,322060000.0,0.6,0.1,0,Công ty Cổ phần Phát triển hạ tầng và Bất động sản Thái Bình Dương ,PPI,UPCOM,2019-05-27,,0.0,Bất động sản và Xây dựng,2023,5,26,867663000000.0
4809,3297,0.5,0.5,0.5,0.5,0,0.0,0.0,0,0,0,0.0,0.5,0.0,0,Công ty Cổ phần Phát triển hạ tầng và Bất động sản Thái Bình Dương ,PPI,UPCOM,2019-05-27,,0.0,Bất động sản và Xây dựng,2023,5,29,598726000000.0
4808,3297,0.5,0.5,0.5,0.5,0,0.0,0.0,0,0,0,0.0,0.5,0.0,0,Công ty Cổ phần Phát triển hạ tầng và Bất động sản Thái Bình Dương ,PPI,UPCOM,2019-05-27,,0.0,Bất động sản và Xây dựng,2023,5,30,797759000000.0
4807,3297,0.5,0.5,0.5,0.5,0,0.0,0.0,0,0,0,0.0,0.5,0.0,0,Công ty Cổ phần Phát triển hạ tầng và Bất động sản Thái Bình Dương ,PPI,UPCOM,2019-05-27,,0.0,Bất động sản và Xây dựng,2023,5,31,860345000000.0
4806,3297,0.5,0.5,0.5,0.5,0,0.0,0.0,0,0,0,0.0,0.5,0.0,0,Công ty Cổ phần Phát triển hạ tầng và Bất động sản Thái Bình Dương ,PPI,UPCOM,2019-05-27,,0.0,Bất động sản và Xây dựng,2023,6,1,784243000000.0
4805,3297,0.6,0.6,0.6,0.6,1361400,0.0,0.0,0,0,0,816840000.0,0.6,0.1,0,Công ty Cổ phần Phát triển hạ tầng và Bất động sản Thái Bình Dương ,PPI,UPCOM,2019-05-27,,0.0,Bất động sản và Xây dựng,2023,6,2,911677000000.0
4804,3297,0.6,0.6,0.6,0.6,0,0.0,0.0,0,0,0,0.0,0.6,0.0,0,Công ty Cổ phần Phát triển hạ tầng và Bất động sản Thái Bình Dương ,PPI,UPCOM,2019-05-27,,0.0,Bất động sản và Xây dựng,2023,6,5,850691000000.0
4803,3297,0.6,0.6,0.6,0.6,0,0.0,0.0,0,0,0,0.0,0.6,0.0,0,Công ty Cổ phần Phát triển hạ tầng và Bất động sản Thái Bình Dương ,PPI,UPCOM,2019-05-27,,0.0,Bất động sản và Xây dựng,2023,6,6,735226000000.0
4802,3297,0.6,0.6,0.6,0.6,0,0.0,0.0,0,0,0,0.0,0.6,0.0,0,Công ty Cổ phần Phát triển hạ tầng và Bất động sản Thái Bình Dương ,PPI,UPCOM,2019-05-27,,0.0,Bất động sản và Xây dựng,2023,6,7,779549000000.0
4801,3297,0.6,0.6,0.6,0.6,0,0.0,0.0,0,0,0,0.0,0.6,0.0,0,Công ty Cổ phần Phát triển hạ tầng và Bất động sản Thái Bình Dương ,PPI,UPCOM,2019-05-27,,0.0,Bất động sản và Xây dựng,2023,6,8,972083000000.0
4800,3297,0.7,0.7,0.7,0.7,246284,0.0,0.0,0,0,0,172394000.0,0.7,0.1,0,Công ty Cổ phần Phát triển hạ tầng và Bất động sản Thái Bình Dương ,PPI,UPCOM,2019-05-27,,0.0,Bất động sản và Xây dựng,2023,6,9,784155000000.0
4799,3297,0.7,0.7,0.7,0.7,0,0.0,0.0,0,0,0,0.0,0.7,0.0,0,Công ty Cổ phần Phát triển hạ tầng và Bất động sản Thái Bình Dương ,PPI,UPCOM,2019-05-27,,0.0,Bất động sản và Xây dựng,2023,6,12,637523000000.0
